Clue (6),ANSWER
 Thespian (5),ACTOR
 Summer coolers (4),ADES
 Head of hair (4),AFRO
 Quartz (5),AGATE
 Famous last word (4),AMEN
 Top Turk (4),AMIR
 Cordial flavoring (5),ANISE
 He means war (4),ARES
 Mr. Sharon (5),ARIEL
 Rubenstein and Schnabel (6),ARTURS
 Concavity (5),BASIN
 ___ Raton (4),BOCA
 One point. at the French Open (6),CINQUE
 Designated driver's beverage (5),COCOA
 Window treatment (5),DRAPE
 Shockers (4),EELS
 Poetic nights (4),EENS
 This. to Manuela (4),ESTE
" ""You too?"" (4)",ETTU
 Sidestep (5),EVADE
" ""As ___ and breathe"" (5)",ILIVE
 Opening remarks. casually (5),INTRO
 Less convincing (5),LAMER
 Wash (4),LAVE
 Filling station (5),MOLAR
" ""Our ___ Friend"" (6)",MUTUAL
 Preferred checking account (5),NOFEE
 Warning (4),OMEN
 Gallery offering (5),OPART
 Above-board (5),OVERT
 Adjuration (4),PLEA
 Rope (5),REATA
 Win back (6),RECOUP
 Gun the engine (5),REVUP
 Thesaurus title (6),ROGETS
 Bumpkins (5),RUBES
 Posted (4),SENT
 Royal address (4),SIRE
 Gents (4),SIRS
 Tsar. often (4),SLAV
 Atlantic City machine (4),SLOT
 Ai's and others (6),SLOTHS
 Evening party (6),SOIREE
 Some offspring (4),SONS
 French philosopher (5),SOREL
 Room to breathe (5),SPACE
 Pet protector: acronym (4),SPCA
 Quickie flights (4),SSTS
 Dele's superceder (4),STET
 Poison ___ (5),SUMAC
 Over 12 (4),TEEN
 On edge (5),TENSE
" ""There's gold in ___ thar hills"" (4)",THEM
 Wild cats (6),TIGERS
 Yankee manager Joe (5),TORRE
 Birth places (5),UTERI
 Monastery head (5),ABBOT
 Loathe (5),ABHOR
 Put up with (6),ABIDED
 Bottomless pit (5),ABYSS
 Scored a 1 on (4),ACED
 Gets a perfect score on (4),ACES
 Zenith (4),ACME
 Entr'__ (4),ACTE
 Meryl Streep. to the politically correct (5),ACTOR
 Axiom (5),ADAGE
" ""A Passage To India"" character (5)",ADELA
 Be mad about (5),ADORE
 Bushy hairstyle (4),AFRO
 Behind in place (5),AFTER
 DRAFT (10),AIRCURRENT
 Controversial orchard spray (4),ALAR
" ""Magical Mystery Tour."" e.g. (5)",ALBUM
 Actor Baldwin (4),ALEC
 1986 Sigourney Weaver thriller (6),ALIENS
" ""Later!"" at the luau (5)",ALOHA
 Honolulu's __ Bowl (5),ALOHA
 Lady Bird's nomen (4),ALTA
 High. in combinations (4),ALTI
 Choir members (5),ALTOS
 Nanking nanny (4),AMAH
 Part of USA (4),AMER
 French friend (4),AMIE
" ""Lucky Jim"" author Kingsley (4)",AMIS
 In a confused state (4),AMOK
 Med. student's course (4),ANAT
" Aldous Huxley novel ""___ Hay"" (5)",ANTIC
 Lunch for an aardvark (4),ANTS
" ""T."" ""D."" and ""S"" sounds (6)",APICAL
 Each (4),APOP
 Seawater color (4),AQUA
 Saudi __ (6),ARABIA
 Composer Khachaturian (4),ARAM
 Don't exist (5),ARENT
 City on the Rhone (5),ARLES
 Palmer. to his fans (5),ARNIE
 Switch ender (4),AROO
" ""...pretty maids all in ___"" (4)",AROW
 Indo-European (5),ARYAN
 On the water (4),ASEA
 Campfire fallout (5),ASHES
 China setting (4),ASIA
 Sale condition (4),ASIS
 Adm. aide (4),ASST
 Italian wine region (4),ASTI
 Start of a Dickens' title (5),ATALE
 Way to go? (4),ATIT
 Observe Yom Kippur (5),ATONE
 Yachting (5),ATSEA
 Tom's Polly or Dorothy's Em (4),AUNT
 Atmosphere (4),AURA
 State firmly (4),AVER
 Forestalls (6),AVERTS
" 1992 Tom Cruise film ""Far and ___"" (4)",AWAY
